f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18
ath-miR156a-3p	4	2	3	3	6	26	7	4	52	6	3	7	22	7	0	22	9	23
ath-miR156a-5p	311	80	264	838	390	38523	1474	2954	6984	894	313	2941	3403	889	2020	3203	2209	3862
ath-miR156b-3p	43	23	56	253	622	566	1102	634	1345	849	528	389	678	237	184	1021	671	741
ath-miR156b-5p	314	79	267	840	393	38604	1475	2955	6994	900	316	2950	3410	889	2023	3210	2219	3871
ath-miR156c-3p	7	3	4	13	14	47	32	5	62	2	4	4	13	2	5	23	9	9
ath-miR156c-5p	311	80	264	838	390	38523	1474	2954	6984	894	313	2941	3403	889	2020	3203	2209	3862
ath-miR156d-3p	1	1	2	1	6	25	36	30	184	18	2	18	123	25	6	128	85	137
ath-miR156d-5p	317	81	270	887	398	39614	1691	3162	7700	980	336	3182	4746	1033	2564	4054	2734	4666
ath-miR156e	311	80	265	839	389	38492	1475	2950	6975	893	313	2935	3391	884	2017	3198	2212	3861
ath-miR156f-3p	15	4	18	28	130	499	44	152	242	218	211	69	88	40	8	62	104	121
ath-miR156f-5p	311	80	265	839	389	38494	1475	2950	6975	893	313	2935	3391	884	2017	3198	2212	3861
ath-miR156g	2	1	1	17	16	230	426	120	434	242	68	217	271	122	343	299	333	214
ath-miR156h	1	1	0	14	8	17	17	11	19	1	2	3	4	5	1	7	9	5
ath-miR156i	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ath-miR156j	0	0	0	3	0	42	2	4	9	0	1	3	9	3	2	9	4	2
ath-miR157a-3p	223	82	241	305	1776	1765	1714	756	4387	1099	1025	575	767	337	62	1366	669	765
ath-miR157a-5p	966	196	711	4114	1468	16057	2970	5446	16321	1054	361	3722	4140	1900	1461	5966	4222	5559
ath-miR157b-3p	224	82	241	305	1777	1777	1717	757	4395	1099	1026	576	767	338	62	1369	669	767
ath-miR157b-5p	966	196	711	4114	1468	16057	2970	5446	16321	1054	361	3722	4140	1900	1461	5966	4222	5559
ath-miR157c-3p	13	3	7	1	9	80	1	2	24	2	3	4	0	1	0	4	4	2
ath-miR157c-5p	966	199	713	4135	1478	16128	2974	5460	16367	1062	360	3734	4145	1904	1463	5977	4244	5577
ath-miR157d	13	2	21	47	24	339	49	50	157	11	7	51	70	26	17	63	49	92
ath-miR158a-3p	13030	2299	9933	66929	34979	369106	72144	293547	844856	76730	25883	330179	422203	230707	129820	425686	425941	581923
ath-miR158a-5p	24	4	14	62	29	293	23	320	949	31	24	226	183	124	101	175	185	283
ath-miR158b	507	169	461	2336	2848	5284	11904	6118	19697	3011	1162	7845	12511	3408	2544	6207	8530	9041
ath-miR159a	2138	874	2269	39003	18626	31643	21951	70464	45867	30132	13318	60253	65491	20931	13192	51479	67277	65717
ath-miR159b-3p	2147	882	2284	39266	18774	31897	22205	70783	46202	30357	13436	60513	65885	21052	13336	51866	67712	66198
ath-miR159b-5p	0	0	0	1	0	2	0	6	10	4	1	2	1	1	0	4	5	5
ath-miR159c	69	27	77	1289	920	2645	1341	1956	1316	1259	464	1653	1908	994	1109	1947	2393	2161
ath-miR160a-3p	8	0	3	3	21	10	16	25	28	33	16	30	17	11	3	47	36	37
ath-miR160a-5p	116	62	150	797	918	736	1340	2886	3918	3563	4283	1638	4612	1253	388	5272	5142	4643
ath-miR160b	85	40	112	578	559	354	788	2032	2187	2195	2595	1086	3137	783	187	3174	3404	3012
ath-miR160c-3p	17	2	7	74	61	218	139	161	496	165	85	140	273	164	42	377	256	226
ath-miR160c-5p	124	65	161	812	939	754	1385	2975	3960	3668	4437	1704	4758	1287	408	5430	5275	4759
ath-miR161.1	750	292	815	7458	6735	18733	5858	10028	22609	8103	3408	10187	9560	6503	3490	12269	12753	11872
ath-miR161.2	284	15	147	1823	478	5938	967	5320	15491	735	336	4904	4792	3598	1980	5530	6388	9133
ath-miR162a-3p	394	184	374	1744	1828	6174	1742	5595	8823	4459	1951	6413	4899	1888	2131	7043	5451	5579
ath-miR162a-5p	4	5	8	72	104	193	162	150	327	141	210	123	66	49	57	109	60	71
ath-miR162b-3p	400	188	385	1803	1944	6371	1883	5809	9293	4625	2043	6647	5060	2069	2217	7356	5645	5797
ath-miR162b-5p	3	5	6	50	86	82	105	100	198	100	158	81	39	29	20	48	46	44
ath-miR163	356	39	288	4269	3388	5502	2749	5170	12225	2899	940	7712	7566	4362	1018	14001	9640	14290
ath-miR164a	6	1	8	122	128	48	110	188	302	240	224	129	165	120	22	205	134	186
ath-miR164b-3p	6	1	7	89	78	24	40	186	258	132	71	140	95	83	19	209	106	143
